# Type_LB L3 noise part: sum_b NG[b] * 10^(g_b(t)/20) * noise_b(t)
# GENERATED by tools/gen_avas_type_lb_lines.py -- DO NOT EDIT
# a16_lines.py stage 4: level = line-masked floor of (x - tone), so a
#   reconstruction error at a strong line does not become a noise level.
# 18 geometric bands, 20.0000-16000.0 Hz, ratio 1.4497
# gust_sd_db=1.5  gust_rate_hz=1.2  UNIFORM across bands -- that is what
#   makes this L3 and not L8 (no per-band onset ramp, no measured depth).
# NG is an ABSOLUTE rms in the same units as the line AMPs.
# noise_rms=2.698742240e-02  tone_rms=2.106063317e-01  noise/tone=-17.85 dB  residual=80.2% of energy
# lo_Hz  hi_Hz  NG_rms
20.000000 28.994310 2.834758096e-03
28.994310 42.033500 3.194075873e-03
42.033500 60.936615 4.419767223e-03
60.936615 88.340754 5.247034262e-03
88.340754 128.068959 5.013172391e-03
128.068959 185.663553 4.809604547e-03
185.663553 269.159328 9.094113584e-03
269.159328 390.204445 1.014561178e-02
390.204445 565.685425 9.899220510e-03
565.685425 820.082919 7.703086692e-03
820.082919 1188.886904 1.345459746e-02
1188.886904 1723.547752 7.354273562e-03
1723.547752 2498.653861 3.592899103e-03
2498.653861 3622.337188 2.593445350e-03
3622.337188 5251.358304 4.020621949e-03
5251.358304 7612.975437 9.231531282e-04
7612.975437 11036.648358 1.390156114e-04
11036.648358 16000.000000 3.584365261e-05
